setID,number,numberVariant,name,year,theme,themeGroup,subtheme,category,released,image/thumbnailURL,image/imageURL,bricksetURL,collections/ownedBy,collections/wantedBy,LEGOCom/US/retailPrice,LEGOCom/US/dateFirstAvailable,LEGOCom/CA/retailPrice,LEGOCom/CA/dateFirstAvailable,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,lastUpdated,pieces,ageRange/min,dimensions/height,dimensions/width,dimensions/depth,dimensions/weight,barcode/EAN,minifigs,LEGOCom/UK/retailPrice,LEGOCom/UK/dateFirstAvailable,LEGOCom/DE/retailPrice,LEGOCom/DE/dateFirstAvailable,barcode/UPC,LEGOCom/US/dateLastAvailable,LEGOCom/CA/dateLastAvailable,LEGOCom/UK/dateLastAvailable,LEGOCom/DE/dateLastAvailable,ageRange/max
30616,912061,1,AT-AT,2020,Star Wars,Licensed,Magazine Gift,Other,TRUE,https://images.brickset.com/sets/small/912061-1.jpg,https://images.brickset.com/sets/images/912061-1.jpg,https://brickset.com/sets/912061-1,700,317,,,,,3.3,0,Foil pack,Retail - limited,0,0,2020-07-02T11:49:26.623Z,51,,,,,,,,,,,,,,,,,
30023,71027,11,Athlete,2020,Collectable Minifigures,Miscellaneous,Series 20,Normal,TRUE,https://images.brickset.com/sets/small/71027-11.jpg,https://images.brickset.com/sets/images/71027-11.jpg,https://brickset.com/sets/71027-11,3134,512,4.99,,,,3.7,0,Foil pack,Retail,0,0,2020-08-26T12:28:06.137Z,8,5,15,9.5,0.7,0.01,,1,,,,,673419319379,,,,,
30254,75980,1,Attack on The Burrow,2020,Harry Potter,Licensed,Half-Blood Prince,Normal,TRUE,https://images.brickset.com/sets/small/75980-1.jpg,https://images.brickset.com/sets/images/75980-1.jpg,https://brickset.com/sets/75980-1,5456,3099,99.99,2020-07-03T00:00:00Z,139.99,2020-09-01T00:00:00Z,4.3,2,Box,Retail,2,15,2020-06-09T14:39:05.59Z,1047,9,37.8,35.4,9.4,,5702016685527,8,89.99,2020-06-01T00:00:00Z,99.99,2020-06-02T00:00:00Z,,,,,,
29964,302001,1,Aurora,2020,Disney,Licensed,Magazine Gift,Other,TRUE,https://images.brickset.com/sets/small/302001-1.jpg,https://images.brickset.com/sets/images/302001-1.jpg,https://brickset.com/sets/302001-1,136,123,,,,,0,0,Foil pack,Retail - limited,0,0,2020-02-04T16:55:17.653Z,2,,,,,,,1,,,,,,,,,,
30321,43188,1,Aurora's Forest Cottage,2020,Disney,Licensed,Sleeping Beauty,Normal,TRUE,https://images.brickset.com/sets/small/43188-1.jpg,https://images.brickset.com/sets/images/43188-1.jpg,https://brickset.com/sets/43188-1,463,325,39.99,2020-09-01T00:00:00Z,49.99,2020-09-01T00:00:00Z,0,0,Box,Retail,2,12,2020-08-28T22:38:46.59Z,300,5,22.2,26.2,7.6,,5702016907971,2,34.99,2020-09-01T00:00:00Z,39.99,2020-09-02T00:00:00Z,,,,,,
30033,302002,1,Aurora's Rabbit,2020,Disney,Licensed,Magazine gift,Other,TRUE,https://images.brickset.com/sets/small/302002-1.jpg,https://images.brickset.com/sets/images/302002-1.jpg,https://brickset.com/sets/302002-1,90,103,,,,,0,0,Foil pack,Retail - limited,0,0,2020-03-22T14:28:12.523Z,25,,,,,,,,,,,,,,,,,
29718,43173,1,Aurora's Royal Carriage,2020,Disney,Licensed,Sleeping Beauty,Normal,TRUE,https://images.brickset.com/sets/small/43173-1.jpg,https://images.brickset.com/sets/images/43173-1.jpg,https://brickset.com/sets/43173-1,689,257,9.99,2020-01-02T00:00:00Z,13.99,2020-01-02T00:00:00Z,0,0,Box,Retail,2,4,2019-12-26T03:11:10.213Z,62,5,12.2,14.1,4.6,0.1,5702016618594,1,8.99,2019-12-26T00:00:00Z,9.74,2019-12-26T00:00:00Z,673419319669,2020-11-18T00:00:00Z,2020-11-18T00:00:00Z,2020-11-25T00:00:00Z,2020-11-26T00:00:00Z,
30236,76153,1,Avengers Helicarrier,2020,Marvel Super Heroes,Licensed,Avengers,Normal,TRUE,https://images.brickset.com/sets/small/76153-1.jpg,https://images.brickset.com/sets/images/76153-1.jpg,https://brickset.com/sets/76153-1,1277,1408,119.99,2020-07-03T00:00:00Z,159.99,2020-07-01T00:00:00Z,4.2,0,Box,Retail,2,11,2020-05-22T00:32:15.54Z,1244,9,37.8,48,9.4,1.65,5702016619348,8,109.99,2020-06-01T00:00:00Z,119.99,2020-06-02T00:00:00Z,673419320443,,,,,
29397,76142,1,Avengers Speeder Bike Attack,2020,Marvel Super Heroes,Licensed,Avengers,Normal,TRUE,https://images.brickset.com/sets/small/76142-1.jpg,https://images.brickset.com/sets/images/76142-1.jpg,https://brickset.com/sets/76142-1,2115,937,19.99,2020-01-02T00:00:00Z,24.99,2020-01-02T00:00:00Z,3.5,2,Box,Retail,4,5,2019-12-31T17:30:03.653Z,226,6,19.1,26.2,6.1,0.28,5702016618044,3,19.99,2020-01-01T00:00:00Z,24.36,2020-01-03T00:00:00Z,673419320245,2020-12-07T00:00:00Z,2020-12-07T00:00:00Z,2020-10-30T00:00:00Z,2020-10-31T00:00:00Z,
30348,76166,1,Avengers Tower Battle,2020,Marvel Super Heroes,Licensed,Avengers,Normal,TRUE,https://images.brickset.com/sets/small/76166-1.jpg,https://images.brickset.com/sets/images/76166-1.jpg,https://brickset.com/sets/76166-1,2466,1742,89.99,2020-07-03T00:00:00Z,119.99,2020-07-01T00:00:00Z,4.4,1,Box,Retail,2,10,2020-06-17T22:23:43.833Z,685,8,37.8,35.4,7.1,1.23,5702016761382,7,79.99,2020-08-01T00:00:00Z,89.99,2020-08-02T00:00:00Z,673419330428,,,,,
